Target,Source,p
ABL1,SHC3,0.8
ABL1,STAT5B,0.8
ABL1,CBLB,0.8
ABL1,CBLC,0.8
ABL1,CD55,0.8
ABL1,CRK,0.8
ABL1,CRKL,0.8
ABL1,RAC3,0.8
ABL1,RB1,0.8
ABL1,SHC1,0.8
ABL1,SHC2,0.8
ABL1,STAT5A,0.8
ABL1,CBL,0.8
ABL1,EPHA1,0.8
ABL1,EPHA2,0.8
ABL1,EPHA3,0.8
ABL1,EPHA4,0.8
ABL1,EPHA5,0.8
ABL1,EPHA7,0.8
ABL1,EPHB1,0.8
ABL1,EPHB2,0.8
ABL1,EPHB3,0.8
ABL1,EPHB4,0.8
ABL1,EPHB6,0.8
ABL1,GRB2,0.8
ABL1,MYC,0.8
ABL1,NTRK1,0.8
ABL1,NTRK2,0.8
ABL1,NTRK3,0.8
ABL1,RAC1,0.8
ABL1,RAC2,0.8
APBB1,APP,0.8
APC,TBL1Y,0.8
APC,ARHGEF4,0.8
APC,AXIN1,0.8
APC,CTNNB1,0.8
APC,DVL1,0.8
APC,DVL2,0.8
APC,DVL3,0.8
APC,TBL1XR1,0.8
APC,TBL1X,0.8
AR,RPE65,0.8
AR,VEGFA,0.8
AR,KLK3,0.8
AR,MAPK3,0.8
AR,MAPK1,0.8
AR,HSP90B1,0.8
AR,HSP90AB1,0.8
AR,HSP90AA1,0.8
AR,AR,0.8
AR,ABCB1,0.8
AR,ACAA1,0.8
AR,ACOX1,0.8
AR,ACOX2,0.8
AR,ACPP,0.8
AR,ACSL1,0.8
AR,ADAM28,0.8
AR,ADAMTS3,0.8
AR,ADIPOQ,0.8
AR,ADIPOR1,0.8
AR,ADIPOR2,0.8
AR,AKR1B1,0.8
AR,AKT1,0.8
AR,ALB,0.8
AR,ALPP,0.8
AR,ANGPTL4,0.8
AR,APOA1,0.8
AR,APOB,0.8
AR,APOBR,0.8
AR,APOC3,0.8
AR,APOE,0.8
AR,AR,0.8
AR,AREG,0.8
AR,ATP2A2,0.8
AR,AVP,0.8
AR,BCL2,0.8
AR,BTF3P11,0.8
AR,C21orf33,0.8
AR,CASP3,0.8
AR,CCND1,0.8
AR,CCND2,0.8
AR,CCNG1,0.8
AR,CD36,0.8
AR,CD38,0.8
AR,CD40,0.8
AR,CD83,0.8
AR,CDH13,0.8
AR,CDK7,0.8
AR,CDKN1A,0.8
AR,CETP,0.8
AR,CITED2,0.8
AR,CPT1A,0.8
AR,CPT2,0.8
AR,CRABP2,0.8
AR,CYP19A1,0.8
AR,CYP1A1,0.8
AR,CYP26A1,0.8
AR,CYP27A1,0.8
AR,CYP4A11,0.8
AR,CYP7A1,0.8
AR,DBI,0.8
AR,DRD1,0.8
AR,ECM1,0.8
AR,EDN1,0.8
AR,EGFR,0.8
AR,ELF4,0.8
AR,ELK1,0.8
AR,ESR1,0.8
AR,ESR2,0.8
AR,ETS1,0.8
AR,F9,0.8
AR,FABP1,0.8
AR,FABP3,0.8
AR,FADS2,0.8
AR,FBP2,0.8
AR,FCER1A,0.8
AR,FGB,0.8
AR,FGF13,0.8
AR,FGF2,0.8
AR,FGF8,0.8
AR,FGFBP1,0.8
AR,FGFR1,0.8
AR,FHL2,0.8
AR,FOXA1,0.8
AR,GADD45A,0.8
AR,GADD45B,0.8
AR,GADD45G,0.8
AR,GATA3,0.8
AR,GCK,0.8
AR,GOT1,0.8
AR,GSTP1,0.8
AR,GTF2F1,0.8
AR,H3F3A,0.8
AR,HES1,0.8
AR,HMGCS1,0.8
AR,HMGCS2,0.8
AR,HNF1A,0.8
AR,HNF1B,0.8
AR,HOXA1,0.8
AR,HOXA4,0.8
AR,HOXA7,0.8
AR,HOXC8,0.8
AR,HOXD4,0.8
AR,HSD11B1,0.8
AR,HSD17B1,0.8
AR,IBSP,0.8
AR,ICAM1,0.8
AR,IFNAR1,0.8
AR,IGFBP5,0.8
AR,IL6ST,0.8
AR,INS,0.8
AR,JUN,0.8
AR,KAT5,0.8
AR,KAT7,0.8
AR,KCNH4,0.8
AR,KHSRP,0.8
AR,KLF5,0.8
AR,KLK14,0.8
AR,KLK15,0.8
AR,KLK2,0.8
AR,KLKB1,0.8
AR,KRT19,0.8
AR,LCP1,0.8
AR,LIPA,0.8
AR,LIPE,0.8
AR,LPL,0.8
AR,MAP4K2,0.8
AR,MED1,0.8
AR,MIF,0.8
AR,MMP9,0.8
AR,MUC1,0.8
AR,MUC4,0.8
AR,MUC5AC,0.8
AR,MYB,0.8
AR,MYC,0.8
AR,MYCN,0.8
AR,MYH6,0.8
AR,NCOA1,0.8
AR,NCOA2,0.8
AR,NCOA3,0.8
AR,NCOA4,0.8
AR,NCOA6,0.8
AR,NCOR1,0.8
AR,NCOR2,0.8
AR,NEDD9,0.8
AR,NFKBIA,0.8
AR,NKX2-1,0.8
AR,NOL3,0.8
AR,NOX1,0.8
AR,NR1H3,0.8
AR,NRIP1,0.8
AR,NUDT6,0.8
AR,PCK1,0.8
AR,PDHA1,0.8
AR,PGC,0.8
AR,PIGR,0.8
AR,PLAT,0.8
AR,PLAU,0.8
AR,PML,0.8
AR,PNRC1,0.8
AR,POU1F1,0.8
AR,POU2F1,0.8
AR,PPARG,0.8
AR,PPARGC1A,0.8
AR,PPBP,0.8
AR,PRKCA,0.8
AR,PTGER2,0.8
AR,PTGS1,0.8
AR,PTGS2,0.8
AR,PTHLH,0.8
AR,RARA,0.8
AR,RARB,0.8
AR,RARG,0.8
AR,RARRES3,0.8
AR,RELA,0.8
AR,RETN,0.8
AR,RNF4,0.8
AR,IL2,0.8
AR,S100A8,0.8
AR,S100A9,0.8
AR,SAT1,0.8
AR,SCARB1,0.8
AR,SCD,0.8
AR,SCGB1D1,0.8
AR,SEMA6B,0.8
AR,SERPINE1,0.8
AR,SERPINF1,0.8
AR,SFTPB,0.8
AR,SLC10A2,0.8
AR,SLC5A5,0.8
AR,SMAD3,0.8
AR,SMARCA1,0.8
AR,SMARCA2,0.8
AR,SMPD1,0.8
AR,SOS1,0.8
AR,STAT3,0.8
AR,STAT5B,0.8
