Name,degree centrality,closeness centrality,betweenness centrality
SHC3,0.0018380663541953863,0.0,0.0
ABL1,0.014336917562724014,0.40002277885261406,0.0004890270968743883
STAT5B,0.018748276812792942,0.40350291902629554,0.00023597286582692552
CBLB,0.001470453083356309,0.0,0.0
CBLC,0.00027570995312930797,0.0,0.0
CD55,0.0006433232239683852,0.0,0.0
CRK,0.0007352265416781545,0.0,0.0
CRKL,0.0012866464479367704,0.0,0.0
RAC3,0.0006433232239683852,0.0,0.0
RB1,0.019575406672180863,0.44826806051176205,0.002233125227975902
SHC1,0.001470453083356309,0.0,0.0
SHC2,0.0004595165885488466,0.0,0.0
STAT5A,0.040805073063137576,0.4177772735795777,0.0005351647965302538
CBL,0.0013785497656465398,0.0,0.0
EPHA1,0.0006433232239683852,0.0,0.0
EPHA2,0.0009190331770976932,0.0,0.0
EPHA3,0.0008271298593879239,0.0,0.0
EPHA4,0.0004595165885488466,0.0,0.0
EPHA5,0.00018380663541953864,0.0,0.0
EPHA7,0.0008271298593879239,0.0,0.0
EPHB1,0.0005514199062586159,0.0,0.0
EPHB2,0.0009190331770976932,0.0,0.0
EPHB3,0.0013785497656465398,0.0,0.0
EPHB4,0.00018380663541953864,0.0,0.0
EPHB6,0.0006433232239683852,0.0,0.0
GRB2,0.001470453083356309,0.0,0.0
MYC,0.2638544251447477,0.5401661364249587,0.00928886358766841
NTRK1,0.001746163036485617,0.0,0.0
NTRK2,0.00036761327083907727,0.0,0.0
NTRK3,0.001746163036485617,0.0,0.0
RAC1,0.0009190331770976932,0.0,0.0
RAC2,0.0007352265416781545,0.0,0.0
APP,0.0012866464479367704,0.0,0.0
APBB1,0.003216616119841926,0.29736740041785,5.2402837060484746e-05
TBL1Y,0.00027570995312930797,0.0,0.0
APC,0.003951842661520081,0.3459790880503131,3.038408253054844e-05
ARHGEF4,0.00036761327083907727,0.0,0.0
AXIN1,0.0011947431302270011,0.0,0.0
CTNNB1,0.018288760224244093,0.39311134501051404,0.0009252107234263828
DVL1,0.0016542597187758478,0.0,0.0
DVL2,0.002940906166712618,0.0,0.0
DVL3,0.0012866464479367704,0.0,0.0
TBL1XR1,0.0009190331770976932,0.0,0.0
TBL1X,0.002940906166712618,0.3117250118638061,1.066296600984997e-05
RPE65,0.0004595165885488466,0.0,0.0
AR,0.03758845694329565,0.4442132454588356,0.0021048363730075464
VEGFA,0.0028490028490028487,0.0,0.0
KLK3,0.0006433232239683852,0.0,0.0
MAPK3,0.004319455932359158,0.00018380663541953864,4.1549881567502927e-07
MAPK1,0.005881812333425236,0.00018380663541953864,5.939479204435685e-07
HSP90B1,0.0011947431302270011,0.0,0.0
HSP90AB1,0.0016542597187758478,0.0,0.0
HSP90AA1,0.002940906166712618,0.0,0.0
ABCB1,0.001470453083356309,0.0,0.0
ACAA1,0.0007352265416781545,0.0,0.0
ACOX1,0.0011028398125172319,0.0,0.0
ACOX2,0.0006433232239683852,0.0,0.0
ACPP,0.0006433232239683852,0.0,0.0
