Name,degree centrality,closeness centrality,betweenness centrality
SHC3,0.0012768945923514012,0.0,0.0
ABL1,0.01072591457575177,0.3929563161609629,0.0003939131382962702
STAT5B,0.014748132541658684,0.3974121922162815,0.00017085210016934914
CBLB,0.0010853604034986911,0.0,0.0
CBLC,0.00025537891847028025,0.0,0.0
CD55,0.00044691310732299046,0.0,0.0
CRK,0.0005107578369405605,0.0,0.0
CRKL,0.0008938262146459809,0.0,0.0
RAC3,0.0005107578369405605,0.0,0.0
RB1,0.013981995786247843,0.4392462300975322,0.0017858636831287872
SHC1,0.001021515673881121,0.0,0.0
SHC2,0.0003830683777054204,0.0,0.0
SHC4,0.00044691310732299046,0.0,0.0
STAT5A,0.03607227223392709,0.42061827523413114,0.0004667555637885055
CBL,0.001021515673881121,0.0,0.0
EPHA1,0.00044691310732299046,0.0,0.0
EPHA2,0.0006384472961757006,0.0,0.0
EPHA3,0.0005746025665581306,0.0,0.0
EPHA4,0.0003192236480878503,0.0,0.0
EPHA5,0.00012768945923514013,0.0,0.0
EPHA6,0.0007661367554108408,0.0,0.0
EPHA7,0.0005746025665581306,0.0,0.0
EPHA8,0.00012768945923514013,0.0,0.0
EPHB1,0.0003830683777054204,0.0,0.0
EPHB2,0.0006384472961757006,0.0,0.0
EPHB3,0.001021515673881121,0.0,0.0
EPHB4,0.00012768945923514013,0.0,0.0
EPHB6,0.0005107578369405605,0.0,0.0
GRB2,0.0011492051331162612,0.0,0.0
MYC,0.23794930728468364,0.526172832808792,0.006630891043864939
NTRK1,0.0012768945923514012,0.0,0.0
NTRK2,0.00025537891847028025,0.0,0.0
NTRK3,0.0012768945923514012,0.0,0.0
RAC1,0.0006384472961757006,0.0,0.0
RAC2,0.0005107578369405605,0.0,0.0
APP,0.0009576709442635509,0.0,0.0
APBB1,0.002234565536614952,0.29286373904878465,3.495673109080226e-05
TBL1Y,0.0001915341888527102,0.0,0.0
APC,0.002936857562408223,0.34086434664829324,2.26535503336448e-05
ARHGEF4,0.00025537891847028025,0.0,0.0
AXIN1,0.0008299814850284108,0.0,0.0
AXIN2,0.0005746025665581306,0.0,0.0
CTNNB1,0.013343548490072143,0.3870500518571446,0.0006892859898578315
DVL1,0.0012768945923514012,0.0,0.0
DVL2,0.002234565536614952,0.0,0.0
DVL3,0.0009576709442635509,0.0,0.0
TBL1XR1,0.0007022920257932707,0.0,0.0
TBL1X,0.002106876077379812,0.3080185300461265,5.752526488243417e-06
RPE65,0.0003192236480878503,0.0,0.0
AR,0.026687096980144286,0.4345932756207296,0.0014674261611358045
VEGFA,0.001979186618144672,0.0,0.0
KLK3,0.00044691310732299046,0.0,0.0
MAPK3,0.003128391751260933,0.00012768945923514013,2.2758255753016384e-07
MAPK1,0.004149907425142054,0.00012768945923514013,3.114625093606817e-07
HSP90B1,0.0008938262146459809,0.0,0.0
HSP90AB1,0.0011492051331162612,0.0,0.0
HSP90AA1,0.002106876077379812,0.0,0.0
ABCB1,0.001021515673881121,0.0,0.0
ACAA1,0.0005746025665581306,0.0,0.0
ACOX1,0.0008299814850284108,0.0,0.0
ACOX2,0.00044691310732299046,0.0,0.0
ACPP,0.00044691310732299046,0.0,0.0
ACSL1,0.0007661367554108408,0.0,0.0
ADAM28,0.0001915341888527102,0.0,0.0
ADAMTS3,0.0010853604034986911,0.0,0.0
ADAMTS4,0.0008938262146459809,0.0,0.0
ADIPOQ,0.0005107578369405605,0.0,0.0
ADIPOR1,0.00044691310732299046,0.0,0.0
ADIPOR2,0.0003192236480878503,0.0,0.0
AKR1B1,0.001021515673881121,0.0,0.0
AKT1,0.0026176339143203727,0.0,0.0
ALB,0.0008299814850284108,0.0,0.0
ALPP,0.00025537891847028025,0.0,0.0
ANGPTL4,0.001021515673881121,0.0,0.0
APOA1,0.0008938262146459809,0.0,0.0
APOB,0.0007661367554108408,0.0,0.0
APOBR,0.0008938262146459809,0.0,0.0
APOC3,0.0009576709442635509,0.0,0.0
APOE,0.0009576709442635509,0.0,0.0
AREG,0.001021515673881121,0.0,0.0
ASB2,0.0014045840515865414,0.0,0.0
ATP2A2,0.0015961182404392515,0.0,0.0
AVP,0.0006384472961757006,0.0,0.0
BCL2,0.002043031347762242,0.0,0.0
