cMaxDriver_L,cMaxDriver_B,cMaxDriver_C
PAX3,PAX3,PAX3
SND1,SND1,SND1
ETV5,ETV5,ETV5
GATA2,GATA2,GATA2
RARA,RARA,RARA
TAL1,TAL1,TAL1
MKL1,MKL1,MKL1
TNFAIP3,TNFAIP3,TNFAIP3
PPARG,PPARG,PPARG
BCL6,BCL6,BCL6
ERG,ERG,ERG
CBFA2T3,CBFA2T3,CBFA2T3
CIITA,CIITA,CIITA
MYB,,
WWTR1,MYB,MYB
MYOD1,,
ZBTB16,,
BCL11B,,
CDX2,,
WT1,,
MAX,,
STAT3,,
JUN,,
LMO2,,
VHL,LMO2,LMO2
SMAD2,,
GATA3,,SUFU
HMGA2,GATA3,GATA3
IKBKB,,
CREB3L1,,
BRCA1,CREB3L1,CREB3L1
SFPQ,,
ARID1A,BRCA1,BRCA1
ATRX,SFPQ,SFPQ
HNF1A,ARID1A,ARID1A
TRIM33,ATRX,ATRX
NPM1,TRIM33,TRIM33
PBX1,,
MLLT10,,
CBFB,,
SMAD4,,
NCOR2,,
MYCN,,
SMAD3,MYCN,MYCN
EZH2,,
PAX8,SMAD3,SMAD3
LMO1,,
NR4A3,PAX8,PAX8
NSD1,,
ETV4,LMO1,LMO1
SPEN,,
HOXA11,POU2AF1,POU2AF1
AR,,
RB1,,
CTCF,,
NCOA2,,
BCOR,,
STAT6,,
NOTCH2,,
KAT6B,,
NCOR1,KAT6B,KAT6B
ABL1,,
MEN1,,
RUNX1T1,,
HIF1A,MEN1,MEN1
NKX2-1,,
ERCC3,RUNX1T1,RUNX1T1
FOXO3,,
KLF4,,
ARNT,,
TP53,KLF4,KLF4
ZNF384,TP53,TP53
BRCA2,,
TFE3,,
HLF,,
NONO,,
NFIB,,
ETV6,,
DEK,ERCC2,
AFF1,,
ATF1,,
MLLT3,,
CEBPA,,
CNOT3,,
TLX1,,
PRRX1,,
APC,,
PML,,
DDIT3,,
MAF,,
KAT6A,,
NFE2L2,,
ATM,,
TCF7L2,,
TRIM24,,
FOXA1,,
CREBBP,,
BTG1,,
TRRAP,,
TCF12,CREBBP,CREBBP
MDM4,TFEB,
LEF1,,
CUX1,,
NFKB2,,
PAX5,,
CIC,CUX1,CUX1
IRF4,NFKB2,NFKB2
NAB2,,
HEY1,,ARID1B
FOXO4,,
DAXX,,NFATC2
HOXC13,,
MECOM,,
TRIM27,,
SMARCB1,,
NCOA1,MECOM,MECOM
STAT5B,SMARCB1,SMARCB1
ELL,NCOA1,NCOA1
XPC,STAT5B,STAT5B
BCL11A,ELL,ELL
SMARCE1,,
FOXO1,,
EP300,FOXO1,FOXO1
KDM5A,,
MLLT1,,
TCF3,,
GATA1,EP300,EP300
ELK4,,
EWSR1,,
ETV1,,
DNMT3A,,
SMARCD1,,
ESR1,,
CREB1,,
REL,,
ELF4,CREB1,CREB1
FUS,REL,REL
DDB2,,
MITF,,
FLI1,,
SOX2,,
CHD4,,
PATZ1,,
ZMYM2,,
SS18L1,,
KLF6,,
CTNNB1,SS18L1,SS18L1
SMARCA4,,
PRDM1,,
ZFHX3,PRDM1,PRDM1
IKZF1,,
MED12,,
MYC,,
TAF1,,
HIF1AN,,
FHL5,,
HDAC9,,
EGR2,,
HAND2,,
POU2F1,TAF1,PIAS1
ASCC2,HIF1AN,SP1
POU3F2,FHL5,USF1
SRSF1,HDAC9,EGR2
PARP1,EGR2,POU2F1
KAT5,HAND2,SRF
EHMT2,POU2F1,POU3F2
TFAP2A,ASCC2,RELA
RXRA,POU3F2,KAT5
NDN,SRSF1,TFAP2A
HNRNPUL1,PARP1,RXRA
AATF,KAT5,POLR2A
PNRC2,EHMT2,AHR
SMAD7,TFAP2A,SMAD7
FOSL1,RXRA,HDAC1
HCFC1,NDN,RFX1
PPARD,HNRNPUL1,ATF2
JUNB,AATF,NFIC
FOXI1,PNRC2,NR2F2
RFX1,SMAD7,MEF2A
TRIP6,FOSL1,GABPA
NR2F2,HCFC1,SIN3A
ID2,PPARD,TCF4
SMARCD3,JUNB,SMAD1
NR5A1,FOXI1,THRB
HOXA10,RFX1,MED1
THRA,TRIP6,SPI1
KAT7,NR2F2,SREBF1
TCF4,ID2,E2F4
SMAD1,SMARCD3,HNF4A
THRB,NR5A1,CTBP1
SREBF1,HOXA10,FOXA2
GTF3C4,PHB2,ELK1
FOXA2,THRA,CEBPB
ELK1,KAT7,PAX6
MAFK,TCF4,KAT2B
HOXB7,POLR2K,ZEB1
NPAS2,SMAD1,ATF4
ZEB1,THRB,E2F3
ATF4,SREBF1,MZF1
HTT,CITED1,TGIF1
PNN,FOXA2,EGR1
