cMaxDriver_L,cMaxDriver_B,cMaxDriver_C
PAX3,PAX3,PAX3
SND1,SND1,SND1
ETV5,ETV5,ETV5
GATA2,GATA2,GATA2
RARA,RARA,RARA
TAL1,TAL1,TAL1
MKL1,MKL1,MKL1
TNFAIP3,TNFAIP3,TNFAIP3
PPARG,PPARG,PPARG
BCL6,BCL6,BCL6
ERG,ERG,ERG
CBFA2T3,FUBP1,CBFA2T3
CIITA,CBFA2T3,FOXP1
MYB,CIITA,CIITA
WWTR1,MYB,MYB
MYOD1,WWTR1,WWTR1
ZBTB16,MYOD1,MYOD1
BCL11B,ZBTB16,ZBTB16
CDX2,BCL11B,BCL11B
WT1,CDX2,CDX2
MAX,WT1,WT1
STAT3,MAX,MAX
JUN,LYL1,STAT3
LMO2,STAT3,JUN
VHL,JUN,LMO2
SMAD2,MAFB,VHL
GATA3,LMO2,SUFU
HMGA2,VHL,SMAD2
IKBKB,SMAD2,GATA3
CREB3L1,GATA3,HMGA2
BRCA1,HMGA2,IKBKB
SFPQ,IKBKB,CREB3L1
ARID1A,CREB3L1,BRCA1
ATRX,BRCA1,SFPQ
HNF1A,SFPQ,ARID1A
TRIM33,ARID1A,ATRX
NPM1,ATRX,HNF1A
PBX1,HNF1A,TRIM33
MLLT10,TRIM33,NPM1
CBFB,NPM1,PBX1
SMAD4,PBX1,HOXD13
NCOR2,HOXD13,HOXA13
MYCN,MLLT10,CBFB
SMAD3,CBFB,SMAD4
EZH2,SMAD4,NCOR2
PAX8,NCOR2,MYCN
LMO1,MYCN,SMAD3
NR4A3,SMAD3,EZH2
NSD1,EZH2,PAX8
ETV4,PAX8,LMO1
SPEN,LMO1,NR4A3
HOXA11,NR4A3,NSD1
AR,NSD1,ETV4
RB1,ETV4,SPEN
CTCF,SPEN,POU2AF1
NCOA2,POU2AF1,HOXA11
BCOR,HOXA11,AR
STAT6,AR,RB1
NOTCH2,RB1,CTCF
KAT6B,CTCF,NCOA2
NCOR1,PSIP1,BCOR
ABL1,NCOA2,STAT6
MEN1,BCOR,NOTCH2
RUNX1T1,STAT6,KAT6B
HIF1A,NOTCH2,NCOR1
NKX2-1,KAT6B,ABL1
ERCC3,NCOR1,MEN1
FOXO3,ABL1,RUNX1T1
KLF4,MEN1,HIF1A
ARNT,RUNX1T1,NKX2-1
TP53,HIF1A,ERCC3
ZNF384,NKX2-1,FOXO3
BRCA2,ERCC3,SRSF3
TFE3,FOXO3,KLF4
HLF,KLF4,ARNT
NONO,ARNT,TP53
NFIB,TP53,EBF1
ETV6,BRCA2,BRCA2
DEK,TFE3,TFE3
AFF1,HLF,DDX5
ATF1,NONO,HLF
MLLT3,NFIB,NONO
CEBPA,ETV6,NFIB
CNOT3,ERCC2,ETV6
TLX1,DEK,DEK
PRRX1,AFF1,ATF1
APC,ATF1,MLLT3
PML,MLLT3,CEBPA
DDIT3,CEBPA,CNOT3
MAF,CNOT3,TLX1
KAT6A,TLX1,PRRX1
NFE2L2,PRRX1,APC
ATM,APC,PML
TCF7L2,PML,DDIT3
TRIM24,DDIT3,MAF
FOXA1,MAF,NFE2L2
CREBBP,KAT6A,ATM
BTG1,CREB3L2,TCF7L2
TRRAP,NFE2L2,TRIM24
TCF12,ATM,FOXA1
MDM4,TCF7L2,CREBBP
LEF1,TRIM24,BTG1
CUX1,FOXA1,TRRAP
NFKB2,CREBBP,TCF12
PAX5,BTG1,MDM4
CIC,TFEB,LEF1
IRF4,TRRAP,CUX1
NAB2,TCF12,NFKB2
HEY1,MDM4,PAX5
FOXO4,LEF1,CIC
DAXX,CUX1,IRF4
HOXC13,NFKB2,NAB2
MECOM,PAX5,ARID1B
TRIM27,CIC,HEY1
SMARCB1,IRF4,FOXO4
NCOA1,NAB2,NFATC2
STAT5B,HEY1,DAXX
ELL,FOXO4,HOXC13
XPC,DAXX,MECOM
BCL11A,HOXC13,TRIM27
SMARCE1,MECOM,SMARCB1
FOXO1,TRIM27,NCOA1
EP300,OLIG2,STAT5B
KDM5A,SMARCB1,ELL
MLLT1,NCOA1,XPC
TCF3,STAT5B,BCL11A
GATA1,ELL,SMARCE1
ELK4,XPC,FOXO1
EWSR1,BCL11A,EP300
ETV1,SMARCE1,KDM5A
DNMT3A,FOXO1,TCF3
SMARCD1,EP300,GATA1
ESR1,KDM5A,ELK4
CREB1,MLLT1,EWSR1
REL,TCF3,ETV1
ELF4,GATA1,DNMT3A
FUS,ELK4,SMARCD1
DDB2,EWSR1,ESR1
MITF,ETV1,CREB1
FLI1,DNMT3A,REL
SOX2,SMARCD1,ELF4
CHD4,ESR1,FUS
PATZ1,CREB1,DDB2
ZMYM2,REL,MITF
SS18L1,ELF4,FLI1
KLF6,FUS,SOX2
CTNNB1,DDB2,CHD4
SMARCA4,MITF,PATZ1
PRDM1,FLI1,ZMYM2
ZFHX3,SOX2,SS18L1
IKZF1,PBRM1,KLF6
MED12,CHD4,HMGA1
MYC,PATZ1,CTNNB1
,ZMYM2,SMARCA4
,SS18L1,PRDM1
,KLF6,ZFHX3
,HMGA1,IKZF1
,CTNNB1,MYC
,SMARCA4,
,PRDM1,
,ZFHX3,
,IKZF1,
,MED12,
,MYC,
