unique_B,unique_C,unique_L
NONO,SMARCB1,ETV6
SMARCB1,CHD4,MLLT1
MLLT1,FOXP1,BCL11B
CHD4,APC,HOXC13
ETV6,SMARCE1,ETV1
TAL1,BCL11B,PAX3
ERCC2,HOXC13,TNFAIP3
FUBP1,ETV1,AFF1
SMARCE1,PAX3,ERCC3
PSIP1,ZFHX3,SMARCD1
ZMYM2,HOXD13,MLLT10
MDM4,ERCC3,TRIM33
OLIG2,ARID1B,NSD1
ETV1,SMARCD1,ELL
TNFAIP3,IKZF1,ETV5
HOXD13,BTG1,XPC
AFF1,TRIM33,NFIB
ERCC3,HMGA2,CIC
PBRM1,PRRX1,TFE3
KAT6A,POU2AF1,DEK
SMARCD1,NSD1,ATRX
MLLT10,ELL,LMO1
MAFB,HOXA13,MLLT3
BTG1,ETV5,MED12
FUS,XPC,
PRRX1,SRSF3,
NSD1,NFIB,
ELL,CIC,
ETV5,DEK,
XPC,ATRX,
CIC,MLLT3,
DEK,DDB2,
ATRX,KAT6B,
LMO1,KDM5A,
MLLT3,NR4A3,
DDB2,,
KAT6B,,
MED12,,
NR4A3,,
ELF4,,
BCOR,,
